model,window,regime,split,wheel,state,bin_kind,bin_center,n,rmse_norm,rmse_phys,batch,fold
ssm,32,S1_train,same_subset,3,zx,wz,3.0,16965,0.07228075480944784,2.213765992173241e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zx,wz,6.0,15206,0.08145897302965167,2.49487024179812e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zx,wz,12.0,7284,0.09157578110803274,2.8047209849334223e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zx,wz,24.0,642,0.09156665231340086,2.8044413943277294e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zy,wz,0.5,77260,0.08421625946093289,1.7541527465037034e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zy,wz,1.5,16402,0.10638479361633699,2.2159043788389465e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zy,wz,3.0,16965,0.11330799271867369,2.3601086997271423e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zy,wz,6.0,15206,0.12063756702863512,2.5127774734061004e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zy,wz,12.0,7284,0.161710140313837,3.3682840897976577e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,zy,wz,24.0,642,0.180633300846893,3.7624373696696144e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,omega_z_derived,wz,0.5,77260,0.02530554922727859,0.22791976874236994,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,omega_z_derived,wz,1.5,16402,0.05222105740983258,0.47033997252668874,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,omega_z_derived,wz,3.0,16965,0.07071814110235985,0.636937859802122,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,omega_z_derived,wz,6.0,15206,0.10186761038084781,0.9174921275888662,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,omega_z_derived,wz,12.0,7284,0.1372912040773427,1.236542198812986,b4096_ep100,S1
ssm,32,S1_train,same_subset,3,omega_z_derived,wz,24.0,642,0.11939901938161217,1.075392461989621,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,gamma,wz,0.5,77254,0.03442330372353504,2.850472886616991,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,gamma,wz,1.5,16087,0.06064849475244777,5.022088848809169,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,gamma,wz,3.0,16571,0.06620702873070076,5.482371531884357,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,gamma,wz,6.0,15308,0.07991280959433417,6.617299112069392,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,gamma,wz,12.0,7618,0.09914181388824811,8.209585456060802,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,gamma,wz,24.0,921,0.08029785151619553,6.649183087574858,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zx,wz,0.5,77254,0.030399288761624926,9.310488222838533e-06,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zx,wz,1.5,16087,0.04162087001331425,1.274735810817574e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zx,wz,3.0,16571,0.04961285448373179,1.5195088974125964e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zx,wz,6.0,15308,0.05707876863216657,1.7481698578264924e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zx,wz,12.0,7618,0.06513930582507194,1.99504253021217e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zx,wz,24.0,921,0.06545082826005778,2.004583629743684e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zy,wz,0.5,77254,0.07820498061873346,1.628942941524285e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zy,wz,1.5,16087,0.09228796115572764,1.9222793971255885e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zy,wz,3.0,16571,0.09412067331002723,1.9604532280658393e-05,b4096_ep100,S1
ssm,32,S1_train,same_subset,4,zy,wz,6.0,15308,0.10638244012769693,2.2158553548561274e-05,b4096_ep100,S1
