model,window,regime,split,wheel,state,bin_kind,bin_center,n,rmse_norm,rmse_phys
ssm,16,S1_train,same_subset,2,gamma,wz,1.5,32557,0.07016318330186591,5.8099668042893695
ssm,16,S1_train,same_subset,2,gamma,wz,3.0,32775,0.08672120620032922,7.181078517186653
ssm,16,S1_train,same_subset,2,gamma,wz,6.0,31408,0.10503419686127852,8.697512952467537
ssm,16,S1_train,same_subset,2,gamma,wz,12.0,15781,0.13525036859795495,11.199608026724073
ssm,16,S1_train,same_subset,2,gamma,wz,24.0,1669,0.1570756218085438,13.006880601505848
ssm,16,S1_train,same_subset,2,zx,wz,0.5,153601,0.03653330977861888,1.1189174626364449e-05
ssm,16,S1_train,same_subset,2,zx,wz,1.5,32557,0.059168725750396486,1.8121796490533604e-05
ssm,16,S1_train,same_subset,2,zx,wz,3.0,32775,0.0744692639518991,2.2807941678118658e-05
ssm,16,S1_train,same_subset,2,zx,wz,6.0,31408,0.09214871586317834,2.8222684431990912e-05
ssm,16,S1_train,same_subset,2,zx,wz,12.0,15781,0.10562318212404923,3.234955269046282e-05
ssm,16,S1_train,same_subset,2,zx,wz,24.0,1669,0.12032882773884916,3.685349820923249e-05
ssm,16,S1_train,same_subset,2,zy,wz,0.5,153601,0.09093725802443163,1.8941454056151558e-05
ssm,16,S1_train,same_subset,2,zy,wz,1.5,32557,0.09700689671575628,2.0205707962637994e-05
ssm,16,S1_train,same_subset,2,zy,wz,3.0,32775,0.09921136477630706,2.066487980392611e-05
ssm,16,S1_train,same_subset,2,zy,wz,6.0,31408,0.11124502445367893,2.3171388338333935e-05
ssm,16,S1_train,same_subset,2,zy,wz,12.0,15781,0.14356490730311028,2.9903343845092757e-05
ssm,16,S1_train,same_subset,2,zy,wz,24.0,1669,0.16153880120507366,3.3647152446775064e-05
ssm,16,S1_train,same_subset,2,omega_z_derived,wz,0.5,153601,0.026090798577240427,0.2349922827052523
ssm,16,S1_train,same_subset,2,omega_z_derived,wz,1.5,32557,0.054975527452544824,0.49514868817653435
ssm,16,S1_train,same_subset,2,omega_z_derived,wz,3.0,32775,0.07075459659638803,0.6372662039014235
ssm,16,S1_train,same_subset,2,omega_z_derived,wz,6.0,31408,0.10446521849006622,0.9408880331358668
ssm,16,S1_train,same_subset,2,omega_z_derived,wz,12.0,15781,0.17262203082247118,1.5547567449152244
ssm,16,S1_train,same_subset,2,omega_z_derived,wz,24.0,1669,0.2346638999723981,2.1135499306308967
ssm,16,S1_train,same_subset,3,gamma,wz,0.5,154960,0.0403089546686504,3.337842971523661
ssm,16,S1_train,same_subset,3,gamma,wz,1.5,32802,0.06862142409577261,5.6822991152801
ssm,16,S1_train,same_subset,3,gamma,wz,3.0,33880,0.08092520190596902,6.7011317573538465
ssm,16,S1_train,same_subset,3,gamma,wz,6.0,30242,0.10176208339038191,8.426560747663359
ssm,16,S1_train,same_subset,3,gamma,wz,12.0,14639,0.12161936304226463,10.070872309910232
ssm,16,S1_train,same_subset,3,gamma,wz,24.0,1268,0.11336656368301896,9.38748701966525
ssm,16,S1_train,same_subset,3,zx,wz,0.5,154960,0.04161693342192797,1.2746152436865476e-05
ssm,16,S1_train,same_subset,3,zx,wz,1.5,32802,0.06646655536328404,2.0356926304030123e-05
ssm,16,S1_train,same_subset,3,zx,wz,3.0,33880,0.0795662372923935,2.4369008147850006e-05
ssm,16,S1_train,same_subset,3,zx,wz,6.0,30242,0.0912036609638971,2.7933239426358563e-05
ssm,16,S1_train,same_subset,3,zx,wz,12.0,14639,0.10139613091151707,3.105492006780229e-05
ssm,16,S1_train,same_subset,3,zx,wz,24.0,1268,0.09684421215701239,2.966078921364119e-05
ssm,16,S1_train,same_subset,3,zy,wz,0.5,154960,0.09233867332192314,1.9233356894001233e-05
ssm,16,S1_train,same_subset,3,zy,wz,1.5,32802,0.113865960869119,2.3717307024435437e-05
ssm,16,S1_train,same_subset,3,zy,wz,3.0,33880,0.11353760161508733,2.3648912566559497e-05
ssm,16,S1_train,same_subset,3,zy,wz,6.0,30242,0.12241382495542599,2.549775406925237e-05
ssm,16,S1_train,same_subset,3,zy,wz,12.0,14639,0.16500595060913248,3.436933003361973e-05
ssm,16,S1_train,same_subset,3,zy,wz,24.0,1268,0.1907589885751248,3.9733468053536786e-05
ssm,16,S1_train,same_subset,3,omega_z_derived,wz,0.5,154960,0.02980828285473081,0.26847458926256695
ssm,16,S1_train,same_subset,3,omega_z_derived,wz,1.5,32802,0.055669042648392675,0.5013949791239236
ssm,16,S1_train,same_subset,3,omega_z_derived,wz,3.0,33880,0.07325575344475149,0.6597934008157201
ssm,16,S1_train,same_subset,3,omega_z_derived,wz,6.0,30242,0.10715885351817392,0.9651488253901097
ssm,16,S1_train,same_subset,3,omega_z_derived,wz,12.0,14639,0.1584083689910249,1.4267384004600414
ssm,16,S1_train,same_subset,3,omega_z_derived,wz,24.0,1268,0.16949644039228556,1.5266054551869124
ssm,16,S1_train,same_subset,4,gamma,wz,0.5,154672,0.03739540900231001,3.096582485820579
ssm,16,S1_train,same_subset,4,gamma,wz,1.5,32394,0.06600558836449377,5.465690958298466
ssm,16,S1_train,same_subset,4,gamma,wz,3.0,33049,0.07866793775772009,6.514215647866178
ssm,16,S1_train,same_subset,4,gamma,wz,6.0,30587,0.1011299308684568,8.374214416086158
ssm,16,S1_train,same_subset,4,gamma,wz,12.0,15288,0.13335331453087063,11.042519644884248
ssm,16,S1_train,same_subset,4,gamma,wz,24.0,1801,0.1294814363883275,10.72190297302879
ssm,16,S1_train,same_subset,4,zx,wz,0.5,154672,0.02870116263905213,8.790397660304553e-06
ssm,16,S1_train,same_subset,4,zx,wz,1.5,32394,0.03873388337227704,1.1863151396456574e-05
ssm,16,S1_train,same_subset,4,zx,wz,3.0,33049,0.045829194545022045,1.403625523702885e-05
ssm,16,S1_train,same_subset,4,zx,wz,6.0,30587,0.05415334538498345,1.6585719763783623e-05
ssm,16,S1_train,same_subset,4,zx,wz,12.0,15288,0.06500438346670757,1.990910220056826e-05
ssm,16,S1_train,same_subset,4,zx,wz,24.0,1801,0.0668999428137153,2.0489661269551767e-05
ssm,16,S1_train,same_subset,4,zy,wz,0.5,154672,0.07905412426381411,1.6466298794460587e-05
ssm,16,S1_train,same_subset,4,zy,wz,1.5,32394,0.08885262808104386,1.850724344192676e-05
ssm,16,S1_train,same_subset,4,zy,wz,3.0,33049,0.09270189610643331,1.930901308947509e-05
ssm,16,S1_train,same_subset,4,zy,wz,6.0,30587,0.10944576926728222,2.279661884312676e-05
ssm,16,S1_train,same_subset,4,zy,wz,12.0,15288,0.14322198171719058,2.98319153896279e-05
