controller,finalized,trajectory,mode,seed,sensor_noise,ok,tracking,ce,chatter,est_rmse_vx,est_rmse_vy,est_rmse_psidot,est_rmse_psi,est_rmse_X,est_rmse_Y,est_rmse_pos,est_rmse_heading,ctrl_rmse_vx,ctrl_rmse_vy,ctrl_rmse_psidot,ctrl_rmse_psi,ctrl_rmse_pos,ctrl_rmse_heading,ctrl_pos_final,ctrl_head_final
pid,true,spin_creep,pose,46,realistic,true,3.7488715085991338,51.32680257495386,0.7659712122972664,0.020343285201860357,0.0227138611686507,0.021904692055152122,0.012809096011313057,0.02257088584138445,0.026534555366643335,0.034835721840809755,0.012809096011313057,0.07602675816991145,0.050723283470889426,0.2175375495023454,0.11051659184518951,0.06613492115882649,0.11051659184518951,0.10545125396722463,0.0011586078829765195
pid,true,coupled_vomega,pose,42,realistic,true,3.734291232356827,48.206055633501364,0.6863899666302311,0.07126940520344062,0.04132462851497345,0.017646606115344,0.013745258923214952,0.025145747461928658,0.023559856465140437,0.03445831470163785,0.013745258923214952,0.17105747273434174,0.13804260077701794,0.21563651480706342,0.1533324638706774,0.34265109243493974,0.1533324638706774,0.011700156764072822,0.0174971043613823
pid,true,coupled_vomega,pose,43,realistic,true,6.326464521338787,51.62920999557377,0.6332239192305213,0.09300229567512786,0.05686499494711414,0.039690275467277665,0.013218607469875007,0.024072854442863573,0.021163195703256373,0.03205281849388015,0.013218607469875007,0.20515076278870967,0.2254999225665719,0.23657789094080708,0.23403322406443472,0.5564351858207921,0.23403322406443472,0.04549763151967737,0.03101627164069321
pid,true,coupled_vomega,pose,44,realistic,true,3.8399065949919655,49.599673184694815,0.6783958103623636,0.07764988402711195,0.0604123740523592,0.01562414995138621,0.010760393941291704,0.03058419208918131,0.024086746613284367,0.038930247471092534,0.010760393941291704,0.17275327657656744,0.1661477610390941,0.23605107648385754,0.16384153948815985,0.3878071665600548,0.16384153948815985,0.015122277833920434,0.0032284469059540295
pid,true,coupled_vomega,pose,45,realistic,true,6.9885183244266695,49.95743315176757,0.6505154122220554,0.08237581689778288,0.04987713147907161,0.05263973000463643,0.011106970942114689,0.021940539156071213,0.02124752390017994,0.030542503668622382,0.011106970942114689,0.19521748468144293,0.18889018845108627,0.29723325306008225,0.211554745509684,0.4757918402455169,0.211554745509684,0.014081478782206797,0.09164426886372379
pid,true,coupled_vomega,pose,46,realistic,true,5.07132247513706,48.39102038570191,0.6776318809777109,0.06870525104147915,0.05093105361534398,0.02093548940655076,0.01305541285703827,0.02247163919934069,0.02663824810122814,0.03485069339637204,0.01305541285703827,0.164837834997836,0.15804104628992047,0.22202708540265034,0.15611052544177495,0.39213230688265155,0.15611052544177495,0.05327605914147986,0.021230924613469426
pid,true,spiral_orbit,pose,42,realistic,true,7.988017773502502,55.38819513588992,0.7426231072736164,0.022454732832063683,0.027619190121497147,0.009016132258612001,0.011299841058809658,0.02452162421286949,0.02309235651224652,0.03368333391049469,0.011299841058809658,0.16318206879114502,0.15373892365039618,0.17786146400934164,0.08627704965248888,0.1244229379334795,0.08627704965248888,0.16225654005385104,0.11222071907674547
pid,true,spiral_orbit,pose,43,realistic,true,5.532680553508815,53.81996435885153,0.7508549000580971,0.023748100213000927,0.02763078890806255,0.02010556829656877,0.01318071640938525,0.025257903894019884,0.022544461296809606,0.03385578893310406,0.01318071640938525,0.16229557704188388,0.15652885133724564,0.18116642450871911,0.0658092136985349,0.1263165684382823,0.0658092136985349,0.1701547642097076,0.01010534575213029
pid,true,spiral_orbit,pose,44,realistic,true,6.15778374097696,55.09936068969761,0.7409815271107639,0.027999798349244803,0.036511444849410456,0.010779345347425568,0.010194127568087978,0.029446935845060255,0.022991554179545647,0.037359518121277704,0.010194127568087978,0.16271539325256937,0.1582254782211588,0.1227555007516397,0.07257680313231381,0.1292321630746823,0.07257680313231381,0.18491098257345578,0.015249887621495262
pid,true,spiral_orbit,pose,45,realistic,true,5.710976589845972,54.78580267040205,0.7461864563563224,0.021756281403567466,0.02954154109452335,0.025756354996799197,0.01123642689754261,0.023243997415721356,0.022548865307171664,0.0323841742600152,0.01123642689754261,0.16487806918238573,0.14942679142611015,0.21446023515975252,0.07430835419266714,0.12607559777015787,0.07430835419266714,0.1591380661068592,0.021531882296439875
pid,true,spiral_orbit,pose,46,realistic,true,5.999876686334428,54.071150270151236,0.7453182351417331,0.024127874299980943,0.01978233038218883,0.02097480323678082,0.013294480613036178,0.021238584235347982,0.025898233708774865,0.033493222740672395,0.013294480613036178,0.16091698186417183,0.16561153953833302,0.12746624126834877,0.06724940280186117,0.1317353340191291,0.06724940280186117,0.1717782202099902,0.02843347496745352
