stratum,quantity,bin_center,n,meas_rms,roller_rms,total_rms,roller_mag_frac,body_mag_frac,yaw_mag_frac,wheel_mag_frac,roller_energy_frac,meas_energy_frac,roller_over_total_median,meas_roller_align
psi<0.5,Vp_perp,0.09375,5018235,1.1274090256790426,1.0405706559874266,0.09280117384714616,0.47459902488682376,0.23322142644412688,0.002367197260044616,0.2898123514090047,125.72921672993385,147.58970860992187,0.475,-0.999543469906421
psi<0.5,Vp_perp,0.13124999999999998,3199359,1.1900543403311452,1.067508879425188,0.13050273680409674,0.46740154187595684,0.22151638796447815,0.0020554485425998427,0.30902662161696504,66.91196027917928,83.15614470697268,0.465,-0.9992074998001211
psi<0.5,Vp_perp,0.16874999999999998,2492119,1.2525253797753009,1.093027680952707,0.16868998653270625,0.4606045003048325,0.21714418388093065,0.0018643502286929462,0.32038696558554386,41.98399040440506,55.13082128973842,0.465,-0.998898211591872
psi<0.5,Vp_perp,0.20625000000000002,2163857,1.2965118202171129,1.1012449891259408,0.20616215483055428,0.4534448007297438,0.21163973897561636,0.002007831425010129,0.3329076288696297,28.533168486304653,39.54896034992987,0.455,-0.9984683538414213
psi<0.5,Vp_perp,0.24375000000000002,1949320,1.3293626563671601,1.0987342246919471,0.24361529506923152,0.44566567594753453,0.20803542004648462,0.002166260932509313,0.34413264307347147,20.34118278815753,29.776787833710365,0.445,-0.9978916643899759
psi<0.5,Vp_perp,0.28125,19828325,1.6988979339630297,1.0643305804190992,0.7048395609058102,0.3776059558798956,0.18930796325755342,0.002243106638792352,0.43084297422375867,2.2801978775414624,5.809704354309703,0.385,-0.9739731081269148
0.5<=psi<2,Vp_perp,-0.28125,109038,0.9786231811000251,0.5395068097516347,0.4494089362940178,0.3531911280427526,0.01255783812045423,0.06743532399700815,0.5668157098397849,1.4411542066356446,4.741847578244474,0.365,-0.9913393399297508
0.5<=psi<2,Vp_perp,-0.24375,22982,0.7865100373673718,0.5449064406434142,0.24264869023311547,0.4037323361330437,0.015193028438987025,0.07457114469776138,0.506503490730208,5.042988519725442,10.50636866505961,0.405,-0.9994095669974501
0.5<=psi<2,Vp_perp,-0.20625,34194,0.7497263343485782,0.5455177740887593,0.20533205465699433,0.41512653779221487,0.015531001096783258,0.07608020100531493,0.4932622601056869,7.058368122465323,13.331899334675295,0.425,-0.999437495213749
0.5<=psi<2,Vp_perp,-0.16875,58179,0.7125916223550173,0.5468634993804729,0.16696439379489106,0.42809631362038014,0.0170001477978861,0.07750003989547626,0.4774034986862576,10.727787058216233,18.215189529850015,0.435,-0.9994722758050114
0.5<=psi<2,Vp_perp,-0.13124999999999998,152608,0.6671586579738867,0.5403289363129141,0.1280435152822557,0.44205776283149056,0.017700598280449523,0.07938060580330386,0.460861033084756,17.80743118141856,27.14832724112494,0.445,-0.9995709066960121
0.5<=psi<2,Vp_perp,-0.09375,561733,0.6160220910987405,0.5273566215896764,0.08998704692144216,0.4552621309535488,0.017641851491681737,0.0813162557984202,0.44577976175634926,34.3438364303973,46.863268284696666,0.465,-0.999636611600237
0.5<=psi<2,Vp_perp,-0.056249999999999994,4121172,0.5652640215050204,0.5168240257267358,0.05028629158672216,0.4696428531129655,0.018507633457281458,0.0832894654794698,0.4285600479502833,105.62973021813906,126.35821121901202,0.475,-0.9996880319954374
0.5<=psi<2,Vp_perp,-0.01874999999999999,55121299,0.3849619676452019,0.37371258649040184,0.014179203697445615,0.3028798202392649,0.23439286884085395,0.05590396028568437,0.40682335063419683,694.6591598162154,737.1094307904167,0.495,-0.9997410726290481
0.5<=psi<2,Vp_perp,0.01874999999999999,68392277,0.4707043132289946,0.45985514086614815,0.014080902063081165,0.3312151086744698,0.2429644218833335,0.04925797260748392,0.3765624968347128,1066.549794157697,1117.4687839644976,0.495,-0.9998138944241808
0.5<=psi<2,Vp_perp,0.056249999999999994,6232796,0.7847426701235171,0.7378471590957149,0.05171751652594409,0.47239660465347877,0.10458249534551403,0.053099645374160245,0.369921254626847,203.54362047803716,230.2391705086546,0.475,-0.9995893816810724
0.5<=psi<2,Vp_perp,0.09375,1519659,1.0333758584665198,0.9496296040131417,0.09128966988577208,0.46581616904388407,0.18367986595261424,0.0347726219877309,0.3157313430157707,108.20945674341075,128.13664527264197,0.475,-0.999327251611369
0.5<=psi<2,Vp_perp,0.13124999999999998,602251,1.12542610847398,1.005561721693278,0.129379052415474,0.458501122633044,0.20211756955008725,0.028699717929810274,0.31068158988705846,60.407315171895235,75.66691713282644,0.465,-0.998952240634363
