dataset,scheme,channel,stratum,vcod_center,wz_center,n,channel_rms,N_bar,mu_bar,wz_bar,A_dF_dmu,abs_A,B_intercept,C_a,C_b,R2_form,R2_form_a,R2_form_b,partial_R2_chi_a,partial_R2_chi_b,chi_swing_a,chi_swing_b
full,unbinned,Fperp,gross,0.13124999999999998,,7191735,30.132860935556952,82.07933717008396,0.5156190265631297,7.477974366239204,-48.23867603986926,48.23867603986926,0.9066103338140606,0.06147687891432014,0.005857810020061078,0.9525468285216785,0.967559240988747,0.9787062415369766,0.3163626792347664,0.5512679595556385,4.16288648790981,2.9662108052704683
full,unbinned,Fperp,gross,0.16874999999999998,,4827446,29.52681118536704,80.55781148603651,0.4962013453905023,6.923816315782076,-49.70972942198626,49.70972942198626,2.9911417416926493,0.0503239984677792,0.004551694912731088,0.9653293378644119,0.9756976131357076,0.9812432727561753,0.2990503968671866,0.45900291230459145,3.2185534057694407,2.0155995930607573
full,unbinned,Fperp,gross,0.20625000000000002,,3941995,28.804586569880257,80.44534274503471,0.4745393385836358,6.495082369583233,-51.02889845787208,51.02889845787208,-1.5357930369181705,0.04298832892698603,0.0037552916458388646,0.9732069495979261,0.9807568395129574,0.9829965833497707,0.2817853809750224,0.36537958929405295,2.625691346574876,1.489777613075239
full,unbinned,Fperp,gross,0.24375000000000002,,3191990,28.952520075169673,80.69325634537469,0.4726465935043648,6.4542106303442655,-51.82081276297713,51.82081276297713,1.1896707179683448,0.038573847337743744,0.0032071829810334344,0.9775501581896967,0.983844336675116,0.9848578553421977,0.2803662733396435,0.3255121890946761,2.3538929803797015,1.2631665872882958
full,unbinned,Fperp,gross,0.28125,,24289905,30.702787620021578,79.5969375142488,0.5162301746342717,6.630444113176833,-54.071201687649555,54.071201687649555,0.34616562921383504,0.023667117167826685,0.001983767002167599,0.9878491034413037,0.9903105508425062,0.9906036966168349,0.20257331541851115,0.2266987594063408,1.5559838620935997,0.8647548537715154
full,binned,Fpar,trans,-0.01874999999999999,3.75,20523192,21.825681814624183,88.09304472673661,0.5272806832387457,3.570074056402105,10.96799793709525,10.96799793709525,-4.740208538843977,-0.04904952615697068,,0.03341417881897968,0.03580883052599948,,0.002477433099622582,,3.6453420127006213,
full,binned,Fpar,trans,-0.01874999999999999,6.25,9310554,22.900822975869026,89.30295939971924,0.6022633239654668,6.0982585002255565,14.826301479839344,14.826301479839344,-8.433041816340012,-0.07060352495689236,,0.04701340979193602,0.05361240894694874,,0.006924545657638242,,6.07573236157088,
full,binned,Fpar,trans,-0.01874999999999999,8.75,4311645,24.687089998539403,90.54088198841424,0.6879545741822349,8.590606692821831,15.166901537476683,15.166901537476683,-8.13932320836436,-0.0909125601682056,,0.05910301196697276,0.0711321281822056,,0.012784732407720946,,9.06042050040489,
full,binned,Fpar,trans,-0.01874999999999999,11.25,1992669,26.21378812906633,92.73001480892032,0.7383327085431647,11.059281722716644,10.240414405664254,10.240414405664254,4.757791067158337,-0.057142650178000014,,0.08375174044502587,0.08913197078160318,,0.005872022435481048,,6.259689602064221,
full,binned,Fpar,trans,-0.01874999999999999,13.75,666134,30.512114200830105,95.48595673817817,0.7647188103294492,13.55303026645692,8.124401359988083,8.124401359988083,-2.0715173587839137,-0.08026044353922769,,0.08996797475421991,0.09916956362693552,,0.010111280281845433,,9.376976227639632,
full,binned,Fpar,trans,-0.01874999999999999,16.25,276457,34.07836117213011,96.90240359275589,0.7832386230046605,16.076603831226187,28.639900525889885,28.639900525889885,-24.298952468719957,0.003993975964346457,,0.08201207970478253,0.0820292649297113,,1.872053493169357e-05,,0.4850137762263155,
full,binned,Fpar,trans,-0.01874999999999999,18.75,172804,38.02670088006808,96.3797871801136,0.7990694659845845,19.339812434969314,31.854656395100747,31.854656395100747,-0.5265657992563272,-0.06539104647231085,,0.03647338973574521,0.0398844452543784,,0.0035401778033900405,,8.057656863265597,
full,binned,Fpar,trans,0.01874999999999999,3.75,20789872,21.671684458798897,87.9387332506373,0.5301930382255329,3.571167851175211,-12.812659910222656,12.812659910222656,6.847910599503658,0.05073483080716907,,0.03884159897964212,0.04141543014658,,0.002677842865656236,,3.784778128029843,
full,binned,Fpar,trans,0.01874999999999999,6.25,9349739,22.865506959491984,89.15895104809759,0.6040370217821063,6.094233010741664,-16.46063828018606,16.46063828018606,12.097973194469139,0.07235944374810355,,0.051550730614960294,0.05836465203873831,,0.007184276105980869,,6.235104121519613,
full,binned,Fpar,trans,0.01874999999999999,8.75,4237396,24.557468839872122,90.40617552490026,0.6902546752769756,8.58699130831399,-17.448200275105215,17.448200275105215,11.038474530877933,0.0905247715491014,,0.059308091148174036,0.07111139450041792,,0.012547469837016594,,9.038469037454757,
