stratum,channel,wz_center,n,F,partial_R2_chi,slope_dF_dchi,chi_swing_abs,channel_rms,rel_swing
0.5<=psi<2,Mz,0.625,2294108,9214.808976892302,0.007969469341988597,0.2553043799648678,0.004020277748376554,0.01754149976574099,0.2291866603235524
0.5<=psi<2,Mz,1.875,2022042,2504.758984496505,0.002471344530728866,0.30889990759456326,0.002833855936011163,0.021767362355971983,0.13018830162643388
0.5<=psi<2,Mz,3.125,1526357,2185.7833527488697,0.002855891867116031,0.2244338056931462,0.003916304873686211,0.028244140887560963,0.1386590192024922
0.5<=psi<2,Mz,4.375,996206,428.9916401003486,0.0008605183817410008,0.17049593563233964,0.0024271207197486913,0.03186605811702909,0.07616633067180807
0.5<=psi<2,Mz,5.625,641216,36.799784498337495,0.00011476985864846032,-0.02498506429284635,0.0008620047589125207,0.03146728620498397,0.02739367968681047
0.5<=psi<2,Mz,6.875,494623,95.49268327088677,0.00038598186795180123,-0.22295028547428644,0.0016399658760455306,0.03158787727240249,0.051917571475381355
0.5<=psi<2,Mz,8.125,390523,128.1095320954081,0.0006556787272150205,-0.4422170990686727,0.0020755041163199473,0.03109049394098356,0.06675687173898556
0.5<=psi<2,Mz,9.375,306899,254.94631396849095,0.0016587328066732336,-0.3167005976460646,0.0031090551521593492,0.028932146987721067,0.10746022939392802
0.5<=psi<2,Mz,10.625,227528,54.44715722749872,0.0004783894925200072,-0.20192974047304624,0.0015441025558117108,0.0265234084170741,0.05821659613014574
0.5<=psi<2,Mz,11.875,144511,22.435140246883947,0.00031042243134789206,-0.18380599544560275,0.0008575712623374999,0.023739944829557262,0.036123557510116304
0.5<=psi<2,Mz,13.125,71715,362.8039747147727,0.010017974030207768,0.09860866201522563,0.005260841025257833,0.020198270630835295,0.2604599731041564
0.5<=psi<2,Mz,14.375,33363,56.50726875398688,0.0033768933103164407,1.2345012507555488,0.002635711625039141,0.029393081336358255,0.08967115746993337
0.5<=psi<2,Mz,15.625,13549,207.09289577021835,0.029681831511196594,1.1272481137542418,0.02091880689322078,0.039198489326591465,0.5336635990976796
0.5<=psi<2,Mz,16.875,3469,1275.2329936493975,0.4242668914184154,-6.826539012042915,0.11836881952761881,0.03723422539340325,3.1790326850357977
0.5<=psi<2,Mz,18.125,975,983.9584341271747,0.6702903919157773,2.330710260466581,0.1973872512920438,0.026070410562075253,7.571313494356086
psi>=2,Fpar,0.625,1494806,396.87553208747903,0.0005307278039383265,215.43711434831687,0.8720296868477758,22.32276760349686,0.03906458653949219
psi>=2,Fpar,1.875,1497798,311.15394536350254,0.00041531207270124274,165.07891532212457,0.7875321061627896,21.99074729462467,0.03581197562828121
psi>=2,Fpar,3.125,1498130,165.91809377342196,0.00022145268839011997,89.41028386962621,0.5878335538051952,21.50005908777328,0.027341020385357274
psi>=2,Fpar,4.375,1495691,54.5921584972616,7.299440666163937e-05,11.411790661413745,0.331249520571033,20.870870183945893,0.015871380428873247
psi>=2,Fpar,5.625,1492881,18.836059053827107,2.5234040642423088e-05,-56.29538517622476,0.11687227852472687,20.145101525846382,0.005801523431131805
psi>=2,Fpar,6.875,1495717,18.15255244256465,2.4272283059012926e-05,-78.61751472491363,0.048483685085012884,19.316180221858446,0.0025100037651413143
psi>=2,Fpar,8.125,1490833,63.8620158162178,8.56661656040926e-05,-25.727349333615628,0.34283144452977665,18.494948498635907,0.018536490899396782
