stratum,channel,vcod_center,vcod_mean,n,n_mu03,n_mu05,n_mu08,N_bar,channel_rms,F_mu03_q,F_mu05_q,F_mu08_q,affine_A_q,affine_B_q,mult_mu03_q,mult_mu05_q,mult_mu08_q,mu_swing_abs_q,rel_swing_q,curvature_resid_q,F_mu03_l,F_mu05_l,F_mu08_l,affine_A_l,affine_B_l,mult_mu03_l,mult_mu05_l,mult_mu08_l,mu_swing_abs_l,rel_swing_l,curvature_resid_l,d_swing_q_minus_l,d_mult05_q_minus_l
gross,Fperp,-0.20625,-0.20547551261481964,3373235,1632279,858527,882429,83.2504298896107,29.670099978595367,18.52991939256018,29.462585238456175,44.738090075767595,52.465513532446614,2.8957075420810474,0.8446122160678109,0.9005883897128247,0.9354618012208912,26.208170683207413,0.8833192575055203,0.4493975726130266,18.529912941638155,29.46208898086947,44.73831110508988,52.465904943118915,2.895447395070308,0.844624985945959,0.9005971008250472,0.935467675459469,26.208398163451722,0.8833269244916266,0.448816773850627,-0.00022748024430896407,-8.711112222448136e-06
gross,Fperp,-0.16875,-0.16756197858344696,4581950,2065125,1370950,1145875,83.00951715730076,29.494982748360712,18.56546305599153,29.436931413373543,44.62307308066373,52.16553799194365,3.0406702506680485,0.8373131997926551,0.8955937097635588,0.9320871191202527,26.0576100246722,0.88345906986911,0.4484243475131322,18.56584925750945,29.436802239621773,44.62069566974812,52.16007697912245,3.04285906730053,0.8372008853790952,0.8955166098648177,0.9320349230464205,26.054846412238675,0.8833653721559395,0.44901441721685487,0.0027636124335259638,7.709989874105094e-05
gross,Fperp,-0.13124999999999998,-0.12988457949642515,6749422,2767458,2293675,1688289,82.00567435030231,29.509008352957235,18.479201759020782,29.403797544372768,43.574598514567086,50.24477314722602,3.696590216262235,0.8030588251485824,0.8717306917863604,0.9157806481147809,25.095396755546304,0.8504317208962183,0.8864370831334618,18.479207894897897,29.403850658454296,43.575043699582956,50.24564341187511,3.696293068329699,0.8030742777200923,0.8717416167261967,0.9157881836733978,25.09583580468506,0.8504465993744615,0.8863084416823739,-0.0004390491387553652,-1.0924939836232106e-05
gross,Fperp,-0.09375,-0.09152931115446236,12186777,4200406,4175907,3810464,83.45820397708377,29.827614302097057,17.986952425585894,28.538513970257398,42.006354846512494,47.84411823328787,4.000897320358131,0.7820165427558161,0.8567165575971624,0.905362873525589,24.0194024209266,0.8052740047412338,0.9438005763008626,17.987374572258595,28.538355509352776,42.00604584589789,47.84271537784405,4.001628221029531,0.7819804034839227,0.8566905332426007,0.9053447085212825,24.018671273639292,0.8052494923119158,0.9435124276384634,0.0007311472873077207,2.602435456167118e-05
gross,Fperp,-0.056249999999999994,-0.05320896458748474,28231809,8375339,9605308,10251162,86.72601267832918,28.267079227970253,16.0802483892849,25.608065674874055,37.8694352755304,43.25272968098772,3.462025297522375,0.7893869016510489,0.8620068773453743,0.9090477541862501,21.7891868862455,0.7708326251367745,0.8121425310909558,16.07875433426045,25.607056294097028,37.87032446095629,43.25768406482131,3.4588385876545247,0.7895589970343165,0.8621299975858217,0.9091333278767639,21.79157012669584,0.7709169366580011,0.8116739091582446,-0.0023832404503423277,-0.0001231202404473608
gross,Fperp,-0.01874999999999999,-0.008683381124761502,215003966,74986703,71835716,68181547,87.81539819610393,10.423076754167266,3.6962140634011886,6.233023073538933,9.58249942004803,11.735628738876686,0.2447586457782988,0.9349987854312412,0.95995816407117,0.9745923390224062,5.886285356646842,0.5647358736270879,0.18229486747900747,3.751045599077843,6.217067373509448,9.535312431025616,11.537667087947133,0.3475927313847383,0.9087417933860322,0.9431706170014489,0.963708220844406,5.7842668319477735,0.5549481183312938,0.15231504165249543,0.10201852469906836,0.016787547069721076
gross,Fperp,0.01874999999999999,0.009160670125752123,228114809,80684989,76239501,71190319,87.93337372718754,10.963594797492824,-3.9922029921036253,-6.707942017839186,-10.35209044708629,-12.688277423987438,-0.25015292643293785,0.9383348870937945,0.9620652315443207,0.9759486259759593,6.359887454982665,0.5800914364727394,0.17178404374249467,-4.051119072765866,-6.689033744376515,-10.292977829074024,-12.457833054304913,-0.3667199692646203,0.9106448039407764,0.944399608822616,0.964509779204433,6.241858756308158,0.5693259256293892,0.1411711690873858,0.11802869867450738,0.017665622721704688
gross,Fperp,0.056249999999999994,0.05345488890502914,32194052,9808854,10909833,11475365,88.07083991724184,28.2491080743842,-16.081458544072046,-25.616647912729334,-37.97961842084738,-43.5093849959809,-3.362171714635864,0.7951767082776001,0.86613887441627,0.9119151184905048,21.898159876775335,0.7751805762898477,0.7759254179471569,-16.078054174218803,-25.615776680121847,-37.980299040345585,-43.51722247500804,-3.356802593722944,0.7954661914756547,0.8663449220355149,0.9120578586107952,21.902244866126782,0.7753251822484037,0.7768245594523293,-0.004084989351447632,-0.0002060476192449201
gross,Fperp,0.09375,0.09136248136123615,14694712,5216180,4893775,4584757,85.96440981398112,29.809779363857277,-17.899248623889363,-28.718392676415768,-42.20244744579066,-48.408510762243715,-3.786367688709989,0.7931954752660991,0.8647272810160872,0.9109366079324649,24.303198821901297,0.8152760382845232,1.0978645237658853,-17.89963589731261,-28.716181070960253,-42.20147918223813,-48.40617039600158,-3.7866896200336,0.7931735972817491,0.8647116797240627,0.910925787085632,24.30184328492552,0.8152305653892283,1.0958078596774357,0.0013555369757760616,1.5601292024491897e-05
gross,Fperp,0.13124999999999998,0.12943239637847087,7191735,2543140,2578742,2069853,82.07933717008378,30.132860935556938,-18.24192697545229,-28.884182459101154,-42.44033266671461,-48.261329110053175,-4.138005627113796,0.7777226178017462,0.8536186668685918,0.9031979096548856,24.19840569126232,0.8030570261155677,0.9628932071439351,-18.241777070895647,-28.884157362537593,-42.44043936380773,-48.26183919433531,-4.137711318337532,0.7777367401124655,0.8536288746807325,0.90320505213381,24.19866229291208,0.8030655417905416,0.9629153744771131,-0.0002566016497596024,-1.0207812140672345e-05
