t,Xo,Yo,Vx,Vy,Vx_des,Vy_des
23.2,-2.4731452382066004,4.475750777130305,-0.6298706957677108,-0.2888765894391556,-0.6928307704775023,-0.39998190448587484
23.22,-2.485747483634777,4.469975238694311,-0.6295449679999352,-0.2888827292166664,-0.6928216941159956,-0.3999976252051524
23.240000000000002,-2.4983372546802753,4.464195486483974,-0.6296849069052983,-0.2896454728216173,-0.6928203400608265,-0.3999999704975014
23.26,-2.510923823336109,4.458400546026466,-0.629070334655215,-0.2900598605486401,-0.6928168182181638,-0.3999979764973566
23.28,-2.523508452467111,4.452603887945139,-0.6293361946895558,-0.28916756510721214,-0.6927279623634217,-0.3999466755457022
23.3,-2.536100334949619,4.446824630438271,-0.6291718276987889,-0.2892550659767606,-0.6924030966524112,-0.39975911423999977
23.32,-2.54867757694939,4.441039959513647,-0.6288060330215278,-0.2901886098037873,-0.6917035334204943,-0.3993552212197374
23.34,-2.5612457838002705,4.43522764789588,-0.6280053126077584,-0.29067982625576205,-0.6905056230306279,-0.398663607333683
23.36,-2.5738088459018345,4.429414198113473,-0.6280535060515579,-0.29034214648761536,-0.6887002308115346,-0.3976212636499966
23.38,-2.5863657119756227,4.423607978903298,-0.6273388712670235,-0.2910218066332693,-0.686192213995873,-0.3961732594663423
23.400000000000002,-2.5988974976309467,4.417783689410832,-0.6258406946102175,-0.2922126078687395,-0.6828998986584077,-0.39427244031999953
23.42,-2.611399076130955,4.411913868442401,-0.6240786776577955,-0.2941296745862834,-0.6787545566541827,-0.3918791259979772
23.44,-2.6238727859480275,4.406027071830194,-0.6232572659929247,-0.2947312584742205,-0.673699882556688,-0.3889608085471228
23.46,-2.63631460212687,4.40012555532746,-0.6208043766550997,-0.29619475467744305,-0.667691470596033,-0.38549185028423644
23.48,-2.64870050543102,4.394177303021547,-0.6175212871625155,-0.2988835689988292,-0.6606962915971161,-0.38145318180618215
23.5,-2.661012956750576,4.388153033796158,-0.6135325259458982,-0.30317369255403576,-0.6526921699177954,-0.37683199999999983
23.52,-2.6732443798364356,4.382066709637891,-0.609893550887957,-0.30583198075905976,-0.6436672603870596,-0.3716214660530175
23.54,-2.6853935309986348,4.375921929836325,-0.604468791165872,-0.3091165378505257,-0.6336195252431986,-0.3658204034629633
23.56,-2.6974176369290617,4.369680934882273,-0.5973906956281778,-0.3149297165122155,-0.6225562110719735,-0.35943299604807705
23.580000000000002,-2.7092922218401116,4.363313525701891,-0.5903421896933146,-0.32221969956692353,-0.6104933257447857,-0.3524684859572216
23.6,-2.7210347048954366,4.356830531831374,-0.5843238059688309,-0.32600703383094837,-0.5974551153568557,-0.3449408716799993
23.62,-2.732672070966872,4.350272570465059,-0.57921787075192,-0.32889981266967755,-0.5834735411653816,-0.33686860605685703
23.64,-2.744172771780831,4.343709081474196,-0.5680568925521219,-0.32553866478286264,-0.5685877565277174,-0.3282742942892028
