t,Xo,Yo,psi,xo_ref,yo_ref,psi_ref
12.280000000000001,-0.2773578434076639,-1.2627652813355128,-2.4870833023768397,-0.2855351393824483,-1.2842232391593493,-2.487598168989189
12.3,-0.2856212599941907,-1.2695078228477037,-2.4980740933745507,-0.2940278379775443,-1.2906567364778716,-2.4990104836691636
12.32,-0.2941696125991149,-1.2757839641193254,-2.509224705749365,-0.30254437350436225,-1.2969557589919205,-2.5105557042533198
12.34,-0.30265355005696476,-1.2820639788844177,-2.520459714576668,-0.31108283028927536,-1.3031188898259052,-2.5222383195796962
12.36,-0.31117994612689615,-1.2881869401686221,-2.5317898548149307,-0.31964128772778133,-1.3091447426711371,-2.5340629009981424
12.38,-0.31991560228666643,-1.2939447629927476,-2.5431711436252344,-0.32821782071651934,-1.3150319620976636,-2.5460341020803474
12.4,-0.3283899089353785,-1.2999021318085016,-2.5547333374554384,-0.33681050008628405,-1.3207792238591436,-2.5581566579324644
12.42,-0.33700011097760807,-1.3055069133271604,-2.5664511964991905,-0.3454173930359745,-1.3263852351907275,-2.5704353840641336
12.44,-0.3455145860949238,-1.3111466414222572,-2.578199869157741,-0.35403656356734914,-1.3318487350998425,-2.582875174763653
12.46,-0.3541777457703519,-1.3164859249996075,-2.590032331858122,-0.36266607292049535,-1.3371684946498335,-2.5954810009250187
12.48,-0.36277519991471435,-1.3218466571543201,-2.60192484882427,-0.3713039800099307,-1.3423433172363959,-2.6082579072682934
12.5,-0.3714390288726832,-1.3269351976771695,-2.614050937167334,-0.37994834186122156,-1.3473720388567365,-2.621211008890336
12.52,-0.38002205326276345,-1.3320013567329856,-2.6263493660864206,-0.38859721404802616,-1.3522535283713966,-2.634345487078478
12.540000000000001,-0.38867288733396904,-1.3368091863456253,-2.638818973115158,-0.39724865112947094,-1.3569866877586896,-2.6476665843152114
12.56,-0.39733353031705937,-1.341442186857643,-2.6515384069562864,-0.40590070708773873,-1.3615704523616787,-2.661179598397398
12.58,-0.40587928193979017,-1.34614471605596,-2.6644331920773388,-0.4145514357658119,-1.3660037911276657,-2.6748898755892143
12.6,-0.41450019935946203,-1.350509693877813,-2.6774926135741675,-0.4231988913052211,-1.3702857068401022,-2.6888028027236373
12.620000000000001,-0.4229989688405439,-1.3549720804912904,-2.690833518683874,-0.4318411285837448,-1.3744152363429056,-2.7029237981635017
12.64,-0.4317158845399378,-1.3589722054407658,-2.7043220884195613,-0.44047620365293466,-1.3783914507571056,-2.717258301529507
12.66,-0.44037164409621976,-1.3629629395102627,-2.718006668627214,-0.44910217417537845,-1.3822134556897803,-2.7318117620996194
